system,time_s,coordinate_name,coordinate_units,coordinate,velocity,acceleration,force_N,kinetic_energy_J,potential_energy_J,total_energy_J,period_s,frequency_Hz,angular_frequency_rad_s,amplitude,mass_kg,stiffness_or_length,damping,driving_force_or_torque,driving_frequency_rad_s
Simple Pendulum,2.780289666463309,theta,rad,-0.05072243837728986,0.18912822684151176,0.19909853971045205,0.5972956191313561,0.1609626878469645,0.037850132079607635,0.19881281992657213,3.4775490697965807,0.2875588467421669,1.8067855207998895,0.11630191093501852,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,2.7957981665075433,theta,rad,-0.047765668050447865,0.19216403637191704,0.19237366095992245,0.5771209828797673,0.16617157593636353,0.03356675856370919,0.19973833450007272,3.477562780692305,0.28755771299143085,1.8067783972339226,0.11657260753748667,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,2.845798166507543,theta,rad,-0.03792634947851078,0.20121786503200317,0.16947456434250968,0.508423693027529,0.18219883143616855,0.021163636484729857,0.2033624679208984,3.4776164722110163,0.2875532733384527,1.8067505020715615,0.11762663380081477,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,2.84996483317421,theta,rad,-0.0370864763229097,0.20191986782914834,0.16748473415123985,0.5024542024537195,0.18347234860863335,0.020236790329506954,0.2037091389381403,3.4776216083359643,0.28755284864890696,1.8067478336684475,0.11772696574458197,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,2.89996483317421,theta,rad,-0.026791287592346027,0.20968090803578857,0.14267414700836045,0.42802244102508136,0.19784737437620772,0.010561399285254533,0.20840877366146227,3.477691239421189,0.28754709120365596,1.8067116585730396,0.11907881043738036,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,2.935717033113662,theta,rad,-0.019207500060803576,0.21444910943359466,0.12392767379970263,0.3717830213991079,0.20694789241587838,0.005428609481813626,0.212376501897692,3.477750031263984,0.2875422301805145,1.8066811158638594,0.12020834340139944,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,2.9857170331136618,theta,rad,-0.008341446198590372,0.21996378280868795,0.09641892561341665,0.28925677684025,0.21772829586378437,0.00102385971204609,0.21875215557583044,3.477844511931273,0.28753441868069385,1.8066320347629592,0.12200156808737596,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,3.021987833043869,theta,rad,-0.0003042872644556477,0.22308555100082586,0.07560419915567594,0.2268125974670278,0.22395223379403936,1.3624727189665008e-06,0.22395359626675834,3.477921600521751,0.2875280454424223,1.806591990525892,0.12344533329226312,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,3.071987833043869,theta,rad,0.010932223190401873,0.22612701382418712,0.04586497503027839,0.13759492509083518,0.23010041871469852,0.001758623694620256,0.2318590424093188,3.478038778887544,0.287518358354777,1.80653112475913,0.12560803582399327,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,3.08434563296226,theta,rad,0.013729966768750324,0.22664741551520798,0.03834708079196576,0.11504124237589729,0.23116072931875503,0.0027739103189473534,0.2339346396377024,3.4780695473443677,0.28751581484721495,1.8065151434297873,0.1261697470977722,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,3.1343456329622597,theta,rad,0.025097446721399547,0.22779339783977795,0.007344380578795065,0.022033141736385195,0.23350424444726112,0.009268224651053944,0.24277246909831507,3.478200572209069,0.2875049840397449,1.8064470914594266,0.12853416590717728,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,3.147099732987891,theta,rad,0.028003126159439326,0.22783583838819282,-0.0006973580171691779,-0.0020920740515075337,0.2335912616432282,0.011538382185359129,0.24512964382858732,3.478235522156375,0.2875020951370302,1.8064289399483355,0.12915751799452815,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,3.197099732987891,theta,rad,0.03938079981562629,0.2270048466333995,-0.03264498623588526,-0.09793495870765577,0.23189040177773956,0.022817770269144777,0.25470817204688434,3.478377559738324,0.2874903551514486,1.806355175443423,0.13166035718584512,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,3.2110983330601184,theta,rad,0.0425550562228882,0.22648460157201047,-0.04168932687875063,-0.12506798063625188,0.2308287363715455,0.026643855084396522,0.25747259145594203,3.478418557472896,0.28748696669974916,1.806333885173491,0.1323739419711836,1.0,3.0,0.05,1.0,1.808
